Product_Name,Product_Subcategory,Product_size,ScreenResolution,Cpu,Ram,Memory,Gpu,OpSys,Product_Weight,Product_price,desc
Lenovo,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.8kg,26053,"Lenovo , Notebook, 4GB RAM, 1TB HDD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,2.8kg, Price ₹26053"
Lenovo,Notebook,17.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,2TB HDD,Nvidia GeForce MX150,No OS,2.8kg,45234,"Lenovo , Notebook, 8GB RAM, 2TB HDD, Intel Core i7 8550U 1.8GHz, Nvidia GeForce MX150,2.8kg, Price ₹45234"
Lenovo,Notebook,17.3,1600x900,Intel Core i7 7500U 2.7GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.8kg,45767,"Lenovo , Notebook, 6GB RAM, 128GB SSD +  1TB HDD, Intel Core i7 7500U 2.7GHz, Nvidia GeForce 940MX,2.8kg, Price ₹45767"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2.0GHz,4GB,1TB HDD,AMD Radeon R5 M430,Linux,2.25kg,22803,"Dell , Notebook, 4GB RAM, 1TB HDD, Intel Core i3 6006U 2.0GHz, AMD Radeon R5 M430,2.25kg, Price ₹22803"
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,44169,"Lenovo , Gaming, 8GB RAM, 256GB SSD, Intel Core i5 7300HQ 2.5GHz, Nvidia GeForce GTX 1050,2.5kg, Price ₹44169"
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,6GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.2kg,30849,"Lenovo , Notebook, 6GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,2.2kg, Price ₹30849"
Acer,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Nvidia GeForce MX150,Windows 10,3kg,50669,"Acer , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 8550U 1.8GHz, Nvidia GeForce MX150,3kg, Price ₹50669"
Acer,Notebook,15.6,IPS Panel Full HD / Touchscreen 1920x1080,Intel Core i7 7500U 2.7GHz,12GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.15kg,35111,"Acer , Notebook, 12GB RAM, 1TB HDD, Intel Core i7 7500U 2.7GHz, Intel HD Graphics 620,2.15kg, Price ₹35111"
Lenovo,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 630,Windows 10,1.95kg,58448,"Lenovo , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 7500U 2.7GHz, Intel HD Graphics 630,1.95kg, Price ₹58448"
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,52054,"Asus , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Nvidia GeForce 940MX,1.7kg, Price ₹52054"
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,62817,"Lenovo , Gaming, 16GB RAM, 256GB SSD +  1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050 Ti,2.5kg, Price ₹62817"
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,1TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,35112,"Lenovo , Notebook, 8GB RAM, 1TB HDD, Intel Core i7 7500U 2.7GHz, Nvidia GeForce 940MX,2.2kg, Price ₹35112"
Acer,Notebook,15.6,1366x768,Intel Celeron Dual Core 3205U 1.5GHz,2GB,16GB SSD,Intel HD Graphics,Chrome OS,2.19kg,10602,"Acer , Notebook, 2GB RAM, 16GB SSD, Intel Celeron Dual Core 3205U 1.5GHz, Intel HD Graphics,2.19kg, Price ₹10602"
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,3kg,63243,"Asus , Gaming, 8GB RAM, 1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050,3kg, Price ₹63243"
HP,Notebook,17.3,1600x900,Intel Core i3 6006U 2GHz,8GB,1TB HDD,Intel HD Graphics 520,Windows 10,2.54kg,26053,"HP , Notebook, 8GB RAM, 1TB HDD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,2.54kg, Price ₹26053"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2kg,97449,"Dell , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050,2kg, Price ₹97449"
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,2.05kg,39373,"Lenovo , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Intel UHD Graphics 620,2.05kg, Price ₹39373"
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,1TB HDD,Nvidia GeForce GTX 1060,Windows 10,3.2kg,69210,"Lenovo , Gaming, 8GB RAM, 1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1060,3.2kg, Price ₹69210"
Acer,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050 Ti,Linux,2.5kg,52161,"Acer , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050 Ti,2.5kg, Price ₹52161"
Dell,Workstation,17.3,Full HD 1920x1080,Intel Core i7 7820HQ 2.9GHz,16GB,256GB SSD,Nvidia Quadro M1200,Windows 10,3.42kg,153705,"Dell , Workstation, 16GB RAM, 256GB SSD, Intel Core i7 7820HQ 2.9GHz, Nvidia Quadro M1200,3.42kg, Price ₹153705"
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A10-Series 9600P 2.4GHz,6GB,1TB HDD,AMD Radeon R5 430,Windows 10,2.4kg,26586,"Lenovo , Notebook, 6GB RAM, 1TB HDD, AMD A10-Series 9600P 2.4GHz, AMD Radeon R5 430,2.4kg, Price ₹26586"
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,16GB,512GB SSD,Nvidia GeForce 940MX,Windows 10,1.63kg,78215,"Asus , Ultrabook, 16GB RAM, 512GB SSD, Intel Core i7 7500U 2.7GHz, Nvidia GeForce 940MX,1.63kg, Price ₹78215"
Asus,Notebook,14.0,1366x768,Intel Core i3 7100U 2.4GHz,4GB,128GB SSD,Intel HD Graphics 620,Windows 10,1.3kg,27119,"Asus , Notebook, 4GB RAM, 128GB SSD, Intel Core i3 7100U 2.4GHz, Intel HD Graphics 620,1.3kg, Price ₹27119"
Asus,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.9kg,113060,"Asus , Gaming, 16GB RAM, 256GB SSD +  1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1070,2.9kg, Price ₹113060"
Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Nvidia GeForce GTX 940M,Windows 10,2.8kg,34578,"Lenovo , Notebook, 6GB RAM, 1TB HDD, Intel Core i5 7200U 2.5GHz, Nvidia GeForce GTX 940M,2.8kg, Price ₹34578"
Lenovo,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Nvidia GeForce 940MX,No OS,2.2kg,29250,"Lenovo , Notebook, 8GB RAM, 2TB HDD, Intel Core i5 7200U 2.5GHz, Nvidia GeForce 940MX,2.2kg, Price ₹29250"
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.5kg,67399,"Asus , Gaming, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050 Ti,2.5kg, Price ₹67399"
Lenovo,Notebook,15.6,1366x768,Intel Pentium Quad Core N4200 1.1GHz,4GB,1TB HDD,Intel HD Graphics 505,No OS,2.2kg,19180,"Lenovo , Notebook, 4GB RAM, 1TB HDD, Intel Pentium Quad Core N4200 1.1GHz, Intel HD Graphics 505,2.2kg, Price ₹19180"
HP,2 in 1 Convertible,13.3,Full HD / Touchscreen 1920x1080,Intel Core i7 7600U 2.8GHz,16GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.28kg,105228,"HP , 2 in 1 Convertible, 16GB RAM, 256GB SSD, Intel Core i7 7600U 2.8GHz, Intel HD Graphics 620,1.28kg, Price ₹105228"
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,8GB,256GB SSD,Nvidia GeForce 930M,Windows 10,2.2kg,55571,"Toshiba , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 6500U 2.5GHz, Nvidia GeForce 930M,2.2kg, Price ₹55571"
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,2.3kg,43636,"Lenovo , Notebook, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i5 7200U 2.5GHz, Nvidia GeForce 940MX,2.3kg, Price ₹43636"
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.86kg,24988,"HP , Notebook, 4GB RAM, 1TB HDD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,1.86kg, Price ₹24988"
Lenovo,Notebook,13.3,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.1kg,53226,"Lenovo , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,1.1kg, Price ₹53226"
Dell,Ultrabook,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,Windows 10,1.21kg,133146,"Dell , Ultrabook, 16GB RAM, 1TB SSD, Intel Core i7 8550U 1.8GHz, Intel UHD Graphics 620,1.21kg, Price ₹133146"
MSI,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1070,Windows 10,2.8kg,111834,"MSI , Gaming, 16GB RAM, 256GB SSD +  1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1070,2.8kg, Price ₹111834"
Acer,Notebook,15.6,Full HD 1920x1080,AMD A8-Series 7410 2.2GHz,8GB,256GB SSD,AMD Radeon R5,Windows 10,2.23kg,24988,"Acer , Notebook, 8GB RAM, 256GB SSD, AMD A8-Series 7410 2.2GHz, AMD Radeon R5,2.23kg, Price ₹24988"
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,2GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.1kg,14652,"Asus , 2 in 1 Convertible, 2GB RAM, 32GB Flash Storage, Intel Celeron Dual Core N3350 1.1GHz, Intel HD Graphics 500,1.1kg, Price ₹14652"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,AMD Radeon 530,Windows 10,2.33kg,44968,"Dell , Notebook, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i5 8250U 1.6GHz, AMD Radeon 530,2.33kg, Price ₹44968"
HP,2 in 1 Convertible,13.3,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,1TB SSD,Intel UHD Graphics 620,Windows 10,1.29kg,130482,"HP , 2 in 1 Convertible, 16GB RAM, 1TB SSD, Intel Core i7 8550U 1.8GHz, Intel UHD Graphics 620,1.29kg, Price ₹130482"
Lenovo,Notebook,13.3,1366x768,Intel Celeron Dual Core 3855U 1.6GHz,4GB,16GB Flash Storage,Intel HD Graphics 510,Chrome OS,1.45kg,24503,"Lenovo , Notebook, 4GB RAM, 16GB Flash Storage, Intel Celeron Dual Core 3855U 1.6GHz, Intel HD Graphics 510,1.45kg, Price ₹24503"
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.95kg,52214,"HP , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,1.95kg, Price ₹52214"
Acer,Notebook,11.6,1366x768,Intel Pentium Quad Core N3710 1.6GHz,4GB,128GB Flash Storage,Intel HD Graphics 405,Windows 10,1.4kg,25840,"Acer , Notebook, 4GB RAM, 128GB Flash Storage, Intel Pentium Quad Core N3710 1.6GHz, Intel HD Graphics 405,1.4kg, Price ₹25840"
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.48kg,68837,"HP , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 7500U 2.7GHz, Intel HD Graphics 620,1.48kg, Price ₹68837"
Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,4GB,1TB HDD,Nvidia GeForce 920MX,Windows 10,2.79kg,31381,"Lenovo , Notebook, 4GB RAM, 1TB HDD, Intel Core i5 7200U 2.5GHz, Nvidia GeForce 920MX,2.79kg, Price ₹31381"
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,58288,"Asus , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 7500U 2.7GHz, Intel HD Graphics 620,2kg, Price ₹58288"
HP,Notebook,15.6,IPS Panel Full HD 1366x768,Intel Core i7 8550U 1.8GHz,8GB,1TB HDD,Intel UHD Graphics 620,Windows 10,2.1kg,48058,"HP , Notebook, 8GB RAM, 1TB HDD, Intel Core i7 8550U 1.8GHz, Intel UHD Graphics 620,2.1kg, Price ₹48058"
Acer,Notebook,15.6,1366x768,AMD A12-Series 9720P 2.7GHz,8GB,256GB SSD,AMD Radeon RX 540,Windows 10,2.2kg,35111,"Acer , Notebook, 8GB RAM, 256GB SSD, AMD A12-Series 9720P 2.7GHz, AMD Radeon RX 540,2.2kg, Price ₹35111"
Lenovo,Notebook,14.0,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.44kg,15557,"Lenovo , Notebook, 4GB RAM, 32GB Flash Storage, Intel Celeron Dual Core N3350 1.1GHz, Intel HD Graphics 500,1.44kg, Price ₹15557"
Acer,Notebook,15.6,1366x768,Intel Core i5 7200U 2.5GHz,6GB,1TB HDD,Intel HD Graphics 620,Windows 10,2.23kg,29250,"Acer , Notebook, 6GB RAM, 1TB HDD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,2.23kg, Price ₹29250"
Asus,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,1.7kg,55938,"Asus , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i7 7500U 2.7GHz, Nvidia GeForce 940MX,1.7kg, Price ₹55938"
HP,Ultrabook,12.5,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.26kg,71128,"HP , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i7 7500U 2.7GHz, Intel HD Graphics 620,1.26kg, Price ₹71128"
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,32GB,1TB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,140605,"Dell , Notebook, 32GB RAM, 1TB SSD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050,2.06kg, Price ₹140605"
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.7kg,63882,"MSI , Gaming, 8GB RAM, 256GB SSD +  1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050 Ti,2.7kg, Price ₹63882"
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2.0kg,50243,"Toshiba , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,2.0kg, Price ₹50243"
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10,2kg,71075,"Asus , Notebook, 8GB RAM, 256GB SSD +  1TB HDD, Intel Core i7 7500U 2.7GHz, Intel HD Graphics 620,2kg, Price ₹71075"
Lenovo,Notebook,15.6,Full HD 1920x1080,Intel Core i3 6006U 2GHz,4GB,1TB HDD,Intel HD Graphics 520,Windows 10,1.85kg,23922,"Lenovo , Notebook, 4GB RAM, 1TB HDD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,1.85kg, Price ₹23922"
Asus,Gaming,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.5kg,53226,"Asus , Gaming, 8GB RAM, 256GB SSD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050,2.5kg, Price ₹53226"
HP,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.48kg,67559,"HP , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 7300U 2.6GHz, Intel HD Graphics 620,1.48kg, Price ₹67559"
Dell,Ultrabook,15.6,IPS Panel Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce 940MX,Windows 10,1.9kg,55890,"Dell , Ultrabook, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i5 8250U 1.6GHz, Nvidia GeForce 940MX,1.9kg, Price ₹55890"
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.84kg,60952,"HP , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,1.84kg, Price ₹60952"
Asus,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,Linux,2kg,14651,"Asus , Notebook, 4GB RAM, 1TB HDD, Intel Celeron Dual Core N3350 1.1GHz, Intel HD Graphics 500,2kg, Price ₹14651"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,256GB SSD,Nvidia GeForce 940MX,Windows 10,2kg,60885,"Dell , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 8250U 1.6GHz, Nvidia GeForce 940MX,2kg, Price ₹60885"
Dell,Notebook,15.6,1366x768,Intel Celeron Dual Core N3060 1.6GHz,4GB,500GB HDD,Intel HD Graphics,Linux,2.2kg,14646,"Dell , Notebook, 4GB RAM, 500GB HDD, Intel Celeron Dual Core N3060 1.6GHz, Intel HD Graphics,2.2kg, Price ₹14646"
Lenovo,Notebook,15.6,Full HD 1920x1080,AMD A12-Series 9720P 3.6GHz,12GB,2TB HDD,AMD Radeon 530,Windows 10,2.2kg,47898,"Lenovo , Notebook, 12GB RAM, 2TB HDD, AMD A12-Series 9720P 3.6GHz, AMD Radeon 530,2.2kg, Price ₹47898"
HP,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i3 7100U 2.4GHz,8GB,1TB HDD,Nvidia GeForce 930MX ,Windows 10,2.1kg,38148,"HP , Notebook, 8GB RAM, 1TB HDD, Intel Core i3 7100U 2.4GHz, Nvidia GeForce 930MX ,2.1kg, Price ₹38148"
Lenovo,2 in 1 Convertible,13.9,IPS Panel 4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 8550U 1.8GHz,16GB,512GB SSD,Intel UHD Graphics 620,Windows 10,1.4kg,111834,"Lenovo , 2 in 1 Convertible, 16GB RAM, 512GB SSD, Intel Core i7 8550U 1.8GHz, Intel UHD Graphics 620,1.4kg, Price ₹111834"
Dell,Ultrabook,13.3,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,256GB SSD,Intel UHD Graphics 620,Windows 10,1.2kg,84129,"Dell , Ultrabook, 8GB RAM, 256GB SSD, Intel Core i7 8550U 1.8GHz, Intel UHD Graphics 620,1.2kg, Price ₹84129"
Lenovo,Gaming,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,16GB,256GB SSD +  2TB HDD,Nvidia GeForce GTX 1050 Ti,Windows 10,2.4kg,60153,"Lenovo , Gaming, 16GB RAM, 256GB SSD +  2TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050 Ti,2.4kg, Price ₹60153"
HP,Notebook,14.0,1366x768,Intel Celeron Dual Core N3060 1.6GHz,2GB,32GB Flash Storage,Intel HD Graphics 400,Windows 10,1.44kg,14865,"HP , Notebook, 2GB RAM, 32GB Flash Storage, Intel Celeron Dual Core N3060 1.6GHz, Intel HD Graphics 400,1.44kg, Price ₹14865"
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i7 8650U 1.9GHz,16GB,512GB SSD +  256GB SSD,Intel UHD Graphics 620,Windows 10,1.88kg,85672,"Dell , Ultrabook, 16GB RAM, 512GB SSD +  256GB SSD, Intel Core i7 8650U 1.9GHz, Intel UHD Graphics 620,1.88kg, Price ₹85672"
Asus,2 in 1 Convertible,11.6,Touchscreen 1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,32GB Flash Storage,Intel HD Graphics 500,Windows 10,1.5kg,19980,"Asus , 2 in 1 Convertible, 4GB RAM, 32GB Flash Storage, Intel Celeron Dual Core N3350 1.1GHz, Intel HD Graphics 500,1.5kg, Price ₹19980"
Dell,Ultrabook,15.6,Full HD 1920x1080,Intel Core i5 8250U 1.6GHz,8GB,1TB HDD,AMD Radeon 530,Windows 10,1.9kg,35324,"Dell , Ultrabook, 8GB RAM, 1TB HDD, Intel Core i5 8250U 1.6GHz, AMD Radeon 530,1.9kg, Price ₹35324"
Dell,Notebook,15.6,4K Ultra HD / Touchscreen 3840x2160,Intel Core i7 7700HQ 2.8GHz,16GB,512GB SSD,Nvidia GeForce GTX 1050,Windows 10,2.06kg,108020,"Dell , Notebook, 16GB RAM, 512GB SSD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1050,2.06kg, Price ₹108020"
HP,Notebook,15.6,Full HD 1920x1080,Intel Core i7 7500U 2.7GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.84kg,69477,"HP , Notebook, 8GB RAM, 256GB SSD, Intel Core i7 7500U 2.7GHz, Intel HD Graphics 620,1.84kg, Price ₹69477"
MSI,Gaming,17.3,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10,2.7kg,75071,"MSI , Gaming, 8GB RAM, 128GB SSD +  1TB HDD, Intel Core i7 7700HQ 2.8GHz, Nvidia GeForce GTX 1060,2.7kg, Price ₹75071"
HP,Workstation,15.6,Full HD 1920x1080,Intel Core i7 7700HQ 2.8GHz,8GB,256GB SSD,Nvidia Quadro M1200,Windows 10,2.6kg,92615,"HP , Workstation, 8GB RAM, 256GB SSD, Intel Core i7 7700HQ 2.8GHz, Nvidia Quadro M1200,2.6kg, Price ₹92615"
Toshiba,Notebook,15.6,IPS Panel Full HD 1920x1080,Intel Core i7 6500U 2.5GHz,16GB,512GB SSD,Nvidia GeForce 930M,Windows 10,2.4kg,74751,"Toshiba , Notebook, 16GB RAM, 512GB SSD, Intel Core i7 6500U 2.5GHz, Nvidia GeForce 930M,2.4kg, Price ₹74751"
Dell,Notebook,15.6,Full HD 1920x1080,Intel Core i7 8550U 1.8GHz,8GB,128GB SSD +  2TB HDD,AMD Radeon 530,Windows 10,2.02kg,51729,"Dell , Notebook, 8GB RAM, 128GB SSD +  2TB HDD, Intel Core i7 8550U 1.8GHz, AMD Radeon 530,2.02kg, Price ₹51729"
Lenovo,Notebook,15.6,1366x768,Intel Celeron Dual Core N3350 1.1GHz,4GB,1TB HDD,Intel HD Graphics 500,No OS,2.2kg,17155,"Lenovo , Notebook, 4GB RAM, 1TB HDD, Intel Celeron Dual Core N3350 1.1GHz, Intel HD Graphics 500,2.2kg, Price ₹17155"
Dell,Gaming,15.6,Full HD 1920x1080,Intel Core i5 7300HQ 2.5GHz,8GB,1TB HDD,Nvidia GeForce GTX 1050,Windows 10,2.65kg,53226,"Dell , Gaming, 8GB RAM, 1TB HDD, Intel Core i5 7300HQ 2.5GHz, Nvidia GeForce GTX 1050,2.65kg, Price ₹53226"
Dell,Notebook,15.6,Touchscreen 1366x768,Intel Core i5 7200U 2.5GHz,8GB,2TB HDD,Intel HD Graphics 620,Windows 10,2.36kg,29696,"Dell , Notebook, 8GB RAM, 2TB HDD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,2.36kg, Price ₹29696"
Dell,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7300U 2.6GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,1.36kg,76030,"Dell , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 7300U 2.6GHz, Intel HD Graphics 620,1.36kg, Price ₹76030"
HP,Notebook,15.6,1366x768,Intel Core i3 6006U 2GHz,4GB,500GB HDD,Intel HD Graphics 520,Windows 10,1.86kg,23389,"HP , Notebook, 4GB RAM, 500GB HDD, Intel Core i3 6006U 2GHz, Intel HD Graphics 520,1.86kg, Price ₹23389"
Asus,Notebook,14.0,Full HD 1920x1080,Intel Core i5 7200U 2.5GHz,8GB,256GB SSD,Intel HD Graphics 620,Windows 10,2kg,50349,"Asus , Notebook, 8GB RAM, 256GB SSD, Intel Core i5 7200U 2.5GHz, Intel HD Graphics 620,2kg, Price ₹50349"
Lenovo,Notebook,17.3,1600x900,Intel Core i5 7200U 2.5GHz,6GB,128GB SSD +  1TB HDD,Nvidia GeForce GTX 940MX,Windows 10,2.8kg,38308,"Lenovo , Notebook, 6GB RAM, 128GB SSD +  1TB HDD, Intel Core i5 7200U 2.5GHz, Nvidia GeForce GTX 940MX,2.8kg, Price ₹38308"
